id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds,home_team,away_team,_home_score,_away_score,_date,match_margin,match_result,home_win,_match_key,home_win_rate_l3,home_win_rate_l5,home_score_for_avg_l3,home_score_for_avg_l5,home_score_against_avg_l3,home_score_against_avg_l5,home_win_streak,home_days_rest,away_win_rate_l3,away_win_rate_l5,away_score_for_avg_l3,away_score_for_avg_l5,away_score_against_avg_l3,away_score_against_avg_l5,away_win_streak,away_days_rest,h2h_home_win_rate,h2h_away_win_rate,h2h_draw_rate,h2h_meetings,form_diff_l3,score_form_diff_l3,form_diff_l5,score_form_diff_l5,feature_version
10726,Carlton Blues,5,1983-04-23,1983,H,Fitzroy Lions,2.4 6.7 7.11 9.11,65,1.7 6.9 14.13 18.17,125,L,-60,Princes Park,25789.0,9,11,18,17,Carlton Blues,Fitzroy Lions,65,125,1983-04-23,-60,AWAY_WIN,0,8195,0.6666666666666666,0.75,92.66666666666667,103.5,92.0,88.0,2,7.0,0.5,0.5,104.5,104.5,93.5,93.5,1,14.0,,,,0,0.16666666666666663,-11.833333333333329,0.25,-1.0,week3_day1_v1
11124,Collingwood Magpies,5,1983-04-23,1983,H,Hawthorn Hawks,3.3 4.10 5.14 9.19,73,5.1 7.8 12.9 14.11,95,L,-22,Victoria Park,28506.0,9,19,14,11,Collingwood Magpies,Hawthorn Hawks,73,95,1983-04-23,-22,AWAY_WIN,0,9236,0.0,0.25,100.0,108.75,113.0,116.0,0,7.0,0.6666666666666666,0.6666666666666666,112.66666666666667,112.66666666666667,68.33333333333333,68.33333333333333,0,7.0,,,,0,-0.6666666666666666,-12.666666666666671,-0.41666666666666663,-3.9166666666666714,week3_day1_v1
14731,Sydney Swans,5,1983-04-24,1983,H,St Kilda Saints,8.3 13.8 17.12 24.16,160,4.4 8.8 16.10 21.11,137,W,23,Sydney Cricket Ground,11276.0,24,16,21,11,Sydney Swans,St Kilda Saints,160,137,1983-04-24,23,HOME_WIN,1,12091,0.3333333333333333,0.3333333333333333,67.0,67.0,121.66666666666667,121.66666666666667,0,14.0,0.0,0.0,74.5,74.5,110.5,110.5,0,8.0,,,,0,0.3333333333333333,-7.5,0.3333333333333333,-7.5,week3_day1_v1
12331,Geelong Cats,5,1983-04-25,1983,H,melbourne demons,7.2 10.4 13.8 16.14,110,1.2 6.8 15.13 18.13,121,L,-11,GMHBA Stadium,28591.0,16,14,18,13,Geelong Cats,melbourne demons,110,121,1983-04-25,-11,AWAY_WIN,0,15277,1.0,1.0,95.0,97.75,73.66666666666667,74.0,4,9.0,,,,,,,0,,,,,0,,,,,week3_day1_v1
13976,Richmond Tigers,5,1983-04-25,1983,H,western bulldogs,0.3 8.8 13.11 17.12,114,10.3 12.3 16.5 18.8,116,L,-2,Melbourne Cricket Ground,51651.0,17,12,18,8,Richmond Tigers,western bulldogs,114,116,1983-04-25,-2,AWAY_WIN,0,15494,0.0,0.0,75.0,75.0,119.0,119.0,0,9.0,,,,,,,0,,,,,0,,,,,week3_day1_v1
11508,Essendon Bombers,5,1983-04-25,1983,H,North Melbourne Kangaroos,4.2 10.6 14.7 20.8,128,2.6 6.10 14.15 17.21,123,W,5,Waverley Park,47722.0,20,8,17,21,Essendon Bombers,North Melbourne Kangaroos,128,123,1983-04-25,5,HOME_WIN,1,9542,0.6666666666666666,0.5,109.33333333333333,109.5,94.66666666666667,98.75,1,9.0,0.6666666666666666,0.6666666666666666,90.0,90.0,92.66666666666667,92.66666666666667,1,9.0,,,,0,0.0,19.33333333333333,-0.16666666666666663,19.5,week3_day1_v1
13519,	Melbourne Demons,6,1983-04-30,1983,H,Sydney Swans,3.6 6.10 11.17 18.18,126,2.7 5.13 8.17 12.21,93,W,33,Melbourne Cricket Ground,22590.0,18,18,12,21,	Melbourne Demons,Sydney Swans,126,93,1983-04-30,33,HOME_WIN,1,11100,,,,,,,0,,0.3333333333333333,0.5,83.33333333333333,90.25,130.66666666666666,125.5,1,6.0,,,,0,,,,,week3_day1_v1
14352,St Kilda Saints,6,1983-04-30,1983,H,Fitzroy Lions,2.2 6.4 9.9 15.12,102,7.4 12.8 17.10 22.11,143,L,-41,Moorabbin Oval,16154.0,15,12,22,11,St Kilda Saints,Fitzroy Lions,102,143,1983-04-30,-41,AWAY_WIN,0,11782,0.0,0.0,95.33333333333333,95.33333333333333,127.0,127.0,0,6.0,0.6666666666666666,0.6666666666666666,111.33333333333333,111.33333333333333,84.0,84.0,2,7.0,,,,0,-0.6666666666666666,-16.0,-0.6666666666666666,-16.0,week3_day1_v1
12725,Hawthorn Hawks,6,1983-04-30,1983,H,richmond tigers,1.4 5.7 8.11 12.16,88,2.5 7.8 9.15 15.16,106,L,-18,Waverley Park,33096.0,12,16,15,16,Hawthorn Hawks,richmond tigers,88,106,1983-04-30,-18,AWAY_WIN,0,15329,0.6666666666666666,0.75,121.0,108.25,77.66666666666667,69.5,1,7.0,,,,,,,0,,,,,0,,,,,week3_day1_v1
10727,Carlton Blues,6,1983-04-30,1983,H,Geelong Cats,2.3 6.5 10.10 12.13,85,4.1 6.5 9.7 14.11,95,L,-10,Princes Park,25480.0,12,13,14,11,Carlton Blues,Geelong Cats,85,95,1983-04-30,-10,AWAY_WIN,0,8196,0.6666666666666666,0.6,87.0,95.8,100.66666666666667,95.4,0,7.0,0.6666666666666666,0.8,98.0,100.2,82.0,83.4,0,5.0,,,,0,0.0,-11.0,-0.20000000000000007,-4.400000000000006,week3_day1_v1
